CallId,ValuationDate,CallDate,CallType,Status,Currency,TotalCallAmount,ReturnAmount,DeliverAmount,CollateralValue,PendingCollateral,Exposure,IMRole,Direction,AgreementId,StatementId
mcep33,2017/01/12,2017/01/13,Variation,Expected,USD,4691,0,4691,-5863773,0,-5868464,Pledgor,OUT,a33,msp33
mcep34,2017/01/12,2017/01/13,Variation,Expected,USD,74828,0,74828,-35632708,0,-35707536,Pledgor,OUT,a34,msp34
mcep35,2017/01/12,2017/01/13,Variation,Expected,USD,1965,1965,0,1511558,0,1509593,Pledgor,OUT,a35,msp35
mcep36,2017/01/12,2017/01/13,Variation,Expected,USD,2494,2494,0,1781656,0,1779162,Pledgor,OUT,a36,msp36
mcep37,2017/01/12,2017/01/13,Variation,Expected,USD,11278,0,11278,-37590245,0,-37578967,Pledgor,OUT,a37,msp37
mcep38,2017/01/12,2017/01/13,Variation,Expected,USD,76378,0,76378,-24356873,0,-24433251,Pledgor,OUT,a38,msp38
mcep39,2017/01/12,2017/01/13,Variation,Expected,USD,6059,0,6059,-3189383,0,-3195442,Pledgor,OUT,a39,msp39
mcep40,2017/01/12,2017/01/13,Variation,Expected,USD,1465,0,1465,1627427,0,1625962,Pledgor,IN,a40,msp40
mcep41,2017/01/12,2017/01/13,Variation,Expected,USD,5103,5103,0,-3189383,0,-3194486,Pledgor,IN,a41,msp41
mcep42,2017/01/12,2017/01/13,Variation,Expected,USD,3349,0,3349,-2392037,0,-2388688,Pledgor,OUT,a42,msp42
mcep43,2017/01/12,2017/01/13,Initial,Expected,USD,131500,0,131500,-26300000,0,-26431500,Pledgor,OUT,a31,msp31
mcep44,2017/01/12,2017/01/13,Initial,Expected,USD,496280,0,496280,-25858800,0,-26355080,Pledgor,OUT,a32,msp32
mcep45,2017/01/12,2017/01/13,Initial,Expected,USD,55240,0,55240,-27343800,0,-27399040,Pledgor,OUT,a33,msp33
mcep46,2017/01/12,2017/01/13,Initial,Expected,USD,195880,0,195880,-48970000,0,-49165880,Pledgor,OUT,a34,msp34
mcep47,2017/01/12,2017/01/13,Initial,Expected,USD,73920,0,73920,-3360000,0,-3433920,Pledgor,OUT,a35,msp35
mcep48,2017/01/12,2017/01/13,Initial,Expected,USD,26600,0,26600,-3800000,0,-3826600,Pledgor,OUT,a36,msp36
mcep49,2017/01/12,2017/01/13,Initial,Expected,USD,424260,0,424260,-46668600,0,-47092860,Pledgor,OUT,a37,msp37
mcep50,2017/01/12,2017/01/13,Initial,Expected,USD,1332800,0,1332800,-41233500,0,-42566300,Pledgor,OUT,a38,msp38
mcep51,2017/01/12,2017/01/13,Initial,Expected,USD,20000,0,20000,-1580000,0,-1600000,Pledgor,OUT,a39,msp39
mcep52,2017/01/12,2017/01/13,Initial,Expected,USD,17000,17000,0,-3400000,0,-3383000,Pledgor,IN,a40,msp40
mcep53,2017/01/12,2017/01/13,Initial,Expected,USD,19200,19200,0,-1600000,0,-1580800,Pledgor,IN,a41,msp41
mcep54,2017/01/12,2017/01/13,Initial,Expected,USD,27600,0,27600,-1188000,0,-1215600,Pledgor,OUT,a42,msp42
